time,high,last,timestamp,bid,vwap,volume,low,ask,open,time
2021-12-15 19:32:40,49310.26,48247.73,1639596765,48226.97,47814.34,2475.20356126,46560.0,48249.23,48386.95,2021-12-15 19:32:45
2021-12-15 19:33:00,49310.26,48440.65,1639596784,48423.45,47816.66,2486.68152069,46560.0,48467.0,48386.95,2021-12-15 19:33:04
2021-12-15 19:33:20,49310.26,48340.84,1639596807,48311.76,47817.84,2492.16377658,46560.0,48357.85,48386.95,2021-12-15 19:33:27
2021-12-15 19:33:40,49310.26,48368.57,1639596826,48370.11,47817.92,2492.55449611,46560.0,48411.05,48386.95,2021-12-15 19:33:46
2021-12-15 19:34:00,49310.26,48307.2,1639596848,48280.66,47817.99,2492.54900895,46560.0,48316.69,48386.95,2021-12-15 19:34:08
2021-12-15 19:34:20,49310.26,48289.86,1639596868,48243.58,47818.1,2492.48914101,46560.0,48286.37,48386.95,2021-12-15 19:34:28
2021-12-15 19:34:40,49310.26,48291.35,1639596890,48252.92,47818.89,2490.54007872,46560.0,48289.64,48386.95,2021-12-15 19:34:50
2021-12-15 19:35:00,49310.26,48237.42,1639596910,48221.17,47819.12,2491.4801817,46560.0,48261.53,48386.95,2021-12-15 19:35:10
2021-12-15 19:35:20,49310.26,48212.32,1639596921,48188.18,47819.16,2491.3627126,46560.0,48212.32,48386.95,2021-12-15 19:35:21
2021-12-15 19:35:40,49310.26,48236.99,1639596940,48243.83,47820.12,2488.83185552,46560.0,48299.73,48386.95,2021-12-15 19:35:40
2021-12-15 19:36:00,49310.26,48236.99,1639596961,48247.17,47820.45,2487.82799064,46560.0,48266.83,48386.95,2021-12-15 19:36:01
2021-12-15 19:36:20,49310.26,48307.34,1639596983,48296.66,47820.53,2488.25273538,46560.0,48317.52,48386.95,2021-12-15 19:36:23
2021-12-15 19:36:40,49310.26,48274.24,1639597003,48278.56,47821.56,2485.50895765,46560.0,48296.44,48386.95,2021-12-15 19:36:43
